Car Model ,Review,Style,Comfort,Fuel Economy,Performance,Value for Money
2002 Honda Civic VTi 1.6,Do you find this review helpful? YesNo Report (0 out of 0 people found this review helpful),5-rating,5-rating,5-rating,5-rating,4-rating
1994 Suzuki Margalla GL,"Exterior is very good, just because of a accident there is a small color loss at the back. Interior is very very amamzing aftermarket speakers which load up the car to another leave. Comfort is awesome, matlab soone ka dil karta hai. Ride Quailty is beast accelerate deen toh asaman se choo jati hai. Beast hai bilkul Gold ki, full purani gaariyoon ki jaan hai.",5-rating,5-rating,5-rating,5-rating,5-rating
2005 Toyota Corolla SE Saloon,Do you find this review helpful? YesNo Report (0 out of 0 people found this review helpful),5-rating,5-rating,4-rating,4-rating,5-rating
1998 Toyota Prado TX Limited 2.7,Bhoot achi car hai 2 lack sai 4.5 lack ke range main fuel average bhe achi hai or spare parts bhe asani sai mil jatai hain or value for money hai iska sath sath maintenance cost bhe bhoot kaam ati hai or under power bhe nhi lagti hai Ac performance bhe bhoot achi hai or boot space bhe decent hai main pichla 6 monts sai used kr raha hn,5-rating,5-rating,5-rating,4-rating,5-rating
2008 Toyota Vitz F 1.3,Do you find this review helpful? YesNo Report (0 out of 0 people found this review helpful),4-rating,4-rating,4-rating,5-rating,5-rating
2018 Toyota Corolla GLi 1.3 VVTi Special Edition,"Perfect car of its time. Only deficiency was absence of ABS. Performance is great. It's a comfortable car. Still no match with xli,gli,honda city. Still reliable after 15 years. Its a fuel efficient car.All parts are easily available. Excellent A.C performance. Its a great value to money.",5-rating,5-rating,4-rating,5-rating,3-rating
2005 Honda City i-DSI,Do you find this review helpful? YesNo Report (1 out of 1 person found this review helpful),4-rating,4-rating,4-rating,5-rating,5-rating
2014 Honda City 1.3 i-VTEC,"It is equipped with 2.7 petrol engine..performance wise SUV is superb and its body looks very gentle and classy..you cant even imagine after seeing it tha it is a 22 years old machine...Engine is very powerfull and reliable...very nice pickup and easy to drive...comfort level is much better then old fortuner....it gives the fuel average of around 7 to 8 in city and 10 to 11 on highway(110kph to 120kph)...Although its a true 7 seater SUV...it can easily accommodate almost 8 adults and the Ac performance is also very good....if you are in need of a seven seater SUV with style,comfort and drive pleasure in the budget arount 3 million it is highly recommended.... More ",5-rating,4-rating,5-rating,5-rating,2-rating
2017 Suzuki Ciaz Manual,Do you find this review helpful? YesNo Report (0 out of 0 people found this review helpful),4-rating,4-rating,5-rating,5-rating,4-rating
2005 Suzuki Baleno JXR,"Toyota vitz 1.3 2008 Very good car I have installed 1300cc engine ,it produces 86 Hp its average is 12-14 in city and 15-16 on Motorway and it is not underpowered and pick is very good . before it was 1000cc engine, it was underpowered and pick was not good it costs you around 1 lac if you install 1300cc engine. ",3-rating,4-rating,5-rating,5-rating,5-rating
2005 Suzuki Baleno JXR,Do you find this review helpful? YesNo Report (2 out of 2 people found this review helpful),4-rating,5-rating,5-rating,5-rating,3-rating
1994 Mitsubishi Pajero Mini XR,I've got all the history of the car saved in my Evernote which i can show you got it used and driving for over 2 and a half years fixed a lot of issues thats how i know this car very much Had a heating problem then i suffered through the AC problem Then Engine got replaced from 660cc to 1100 cc so i had Computer matching problem then little bumping and crashing in problems and all that i fixed Alhamdulillah. then i took this car all up in the northern areas for real off roading and came back all safe Alhamdulillah.,2-rating,3-rating,3-rating,4-rating,5-rating
2005 Suzuki Alto VXR (CNG),Do you find this review helpful? YesNo Report (1 out of 1 person found this review helpful),3-rating,3-rating,4-rating,5-rating,5-rating
2003 Hyundai Santro Club,"exterior is good interior is good ,a.c perfomace is very good. comfort is also a good But back space is less . fuel economy is very bad because it is 1 thousand cc. ride and handling of car is also a good. I think it is a very good option in budget car",3-rating,4-rating,5-rating,4-rating,4-rating
2018 FAW V2 VCT-i,Do you find this review helpful? YesNo Report (0 out of 0 people found this review helpful),4-rating,5-rating,4-rating,5-rating,5-rating
2009 Suzuki Alto VXR (CNG),"Exterior: Finest shaped ever made, having rounded curves on Front and Rear, still no match with this car as other cars have sqaresh exteriors. This is the only car with squircle edges that looks cool aswell as cute :) Engine: Can easily compete with any of the 660cc or 1000cc having a 1000cc powered engine with enormous pick. Interior: Again no match in durability and colour tone of the interior, the finishes . AC is a chiller in quick time Ground Clearance is enormous Head space ample Semi powered Staring City drive fun as named club Fuel average on ac 14km city, 16-17km long low price bought in 3.80 lacs in 2011 Bought it from Karachi car Bazaar and drove to Lahore, still in original condition with original engine and parts tact. Current price 4.40 More ",5-rating,5-rating,4-rating,4-rating,4-rating
2010 Toyota Corolla GLi 1.3 VVTi,Do you find this review helpful? YesNo Report (0 out of 0 people found this review helpful),5-rating,4-rating,5-rating,4-rating,4-rating
2013 Daihatsu Move L,"Exterior and interior is good (obviously ,its a personal choice of every individual). As per my experience ,fuel economy is good, performance is excellent and I think this is the best value-for-money car available in Pakistan. The only minor issue I think is a bit of cabin noise but other than that , according to my experience, its a perfect family car. I would definitely recommend this car in this budget, the other option in this budget would be a Suzuki WagonR (I guess) but FAW V2 has, undoubtedly, way more features than that. ",5-rating,4-rating,5-rating,5-rating,4-rating
2019 United Bravo Base Grade,Do you find this review helpful? YesNo Report (1 out of 1 person found this review helpful),4-rating,5-rating,4-rating,5-rating,2-rating
2015 Toyota Passo X L Package,Good car for low budget Good Fuel efficiency on CNG for patrol dont bother bcz that is very bad AC performance is best as for this car suspension is very good Maintenance cost is low ,4-rating,4-rating,4-rating,4-rating,5-rating
2018 Toyota Corolla Altis Automatic 1.6,Do you find this review helpful? YesNo Report (0 out of 0 people found this review helpful),5-rating,5-rating,5-rating,4-rating,5-rating
2013 Toyota Corolla Altis Cruisetronic 1.6,"2008-2014 corolla is considered as 10th generation of the corolla in my opinion, I liked the shape of this model reason is its body is simple at the same point around curves of the car shine among other competitors like honda city, civic and Suzuki ciaz. Interior of the car is either simple and dull as compared to other cars but the interior is unquestionably more spacious then city and civic. Engine power of Gli 1.3 is less which affects its fuel average. Overall its good family car and carry 5 adults very comfortably. ",4-rating,4-rating,5-rating,3-rating,5-rating
2004 Honda Civic VTi Oriel 1.6,Do you find this review helpful? YesNo Report (0 out of 0 people found this review helpful),4-rating,4-rating,5-rating,4-rating,5-rating
2017 Toyota Prius A Premium,"The unique selling point of this car is it’s shape which differ it from other cars. It also have some feature such as lane assist, auto parking, auto breaking and much more. I think this Prius is value to money because of its fuel average, because in city it gives around 26-28 depends on your driving and on long routes it gives 20 -21.",5-rating,5-rating,5-rating,5-rating,5-rating
2009 Suzuki Swift XG 1.2,Do you find this review helpful? YesNo Report (0 out of 0 people found this review helpful),5-rating,5-rating,5-rating,5-rating,5-rating
2010 Toyota Estima Hybrid,Exterior & interior same as PKDM swift except it has rear wiper Climate control Live fuel consumption indicator (Km/ltr) Immobilizer Automatic fully loaded Can take 5 persons easily to any hilly areas in Pakistan with AC Mileage: 12-13 km/ltr inside city with AC 15 to 17 km/ltr on highway with AC Average mileage: 14 km/ltr Driver + passenger airbags Driver seat adjustable (height + forward reverse) Steering adjustment Records driver's driving habits and adjusts engine output accordingly Outstanding ABS brakes Full road grip soundless engine Comfort is way better than PKDM swift  More ,5-rating,5-rating,5-rating,5-rating,5-rating
2005 Honda Civic EXi,Do you find this review helpful? YesNo Report (2 out of 2 people found this review helpful),5-rating,5-rating,4-rating,5-rating,5-rating
2012 Toyota Corolla Altis SR Cruisetronic 1.6,toyota estima is a luxury mpv with 2.4 L hybrid engine main features of the car are adaptive HID lights fog lamps auto parking dual climate control and rear climate control cruise control key less entry handsome boot space 7 seater comfortable seats fuel consumption 12 km\L in city electric rear doors etc,5-rating,5-rating,5-rating,5-rating,5-rating
2002 Honda Accord CL7,Do you find this review helpful? YesNo Report (0 out of 0 people found this review helpful),3-rating,4-rating,5-rating,5-rating,5-rating
2008 Ford F 150 Raptor 5.0L,"It's a complete family car with no issue, I bought this to get modified for pakwheels auto show:) this my first Honda experience in local market tho I have Lancer v8 and Corolla and I found it better then Corolla as its comfortable to sit powerful engine and sporty look",5-rating,5-rating,3-rating,3-rating,5-rating
2005 Toyota Land Cruiser VX Limited 4.7,Do you find this review helpful? YesNo Report (1 out of 1 person found this review helpful),4-rating,5-rating,5-rating,5-rating,5-rating
2012 Toyota Aqua G,"Very opaque and unique shape I must say that best corolla ever produced....Interior is very good build quality is awesome..road grip is very good the car is stable even at high speed...fuel average is 10-11 local and 15-17 on long..Car has ABS,driver airbag and an optional traction control which many people don't know but there's a traction control sign in meter cluster...Car comes with 4speed auto transmission with sunroof and cruise control...",5-rating,5-rating,5-rating,5-rating,5-rating
2011 Toyota Prius G Touring Selection 1.8,Do you find this review helpful? YesNo Report (1 out of 1 person found this review helpful),5-rating,3-rating,4-rating,5-rating,5-rating
2016 Suzuki Swift RS 1.2,I own a 2002 CL7 in mint condition uplifted to 2007 model specs...the car is stock with all working features and clean interior....powerful K20 giving 8-9km/l in city with Ac and 12-13 on Highway...being a car enthusiast i know almost every car and its features...,3-rating,5-rating,3-rating,4-rating,3-rating
2019 Changan Karvaan,Do you find this review helpful? YesNo Report (1 out of 1 person found this review helpful),5-rating,5-rating,5-rating,5-rating,2-rating
2019 Toyota Corolla GLi 1.3 VVTi,"One of better looking cars, ample seating capacity and comfortable seats, drive is really great and comfy, fuel economy is always an issue, I get around 10 in city, I also have a corolla grande and I feel this is more plush in driving than grande, and there is an interesting story how we opted for this car",3-rating,4-rating,2-rating,2-rating,5-rating
2015 Suzuki Cultus VXRi,Do you find this review helpful? YesNo Report (0 out of 0 people found this review helpful),4-rating,2-rating,2-rating,5-rating,5-rating
2005 Honda Civic EXi,Interior and exterior is good value for money car in best price.best handling and road grip.fuel efficient smooth car.70000 km driven .color is white.best body and shape a car can have.enjoying this car for more than 1 year.best buddy car................,2-rating,2-rating,5-rating,4-rating,5-rating
2014 Honda City,Do you find this review helpful? YesNo Report (0 out of 0 people found this review helpful),2-rating,5-rating,4-rating,5-rating,5-rating
2019 FAW V2 VCT-i,i have a civic 2005 exi manuel in very neat in clean condition i am owner of this car and i want to share my car rivew with pakwheels owner good handling good engine performance and best thing is cars resale i love to share my thoughts on this car i am happy user of honda from last 2 years,5-rating,5-rating,4-rating,4-rating,5-rating
2018 Toyota Corolla Altis CVT-i 1.8,Do you find this review helpful? YesNo Report (1 out of 1 person found this review helpful),5-rating,4-rating,5-rating,5-rating,5-rating
2004 Toyota Prado TZ 3.4,"better then corolla interior is very good i like honda city interior interior is also a better then corolla like dashboard,stairing . power stairing, adjustable satiring. sitting comfort is also a good. A.C is excellent. fuel economy :- In city with a.c 12km and long route like motorway with a.c (12.5) which is not good. I was drive car maximum 160 -170 speed quality of ride is very good and handling is also a good. honda city is a good car but some feature is not in honda city all version like stairing control buttons, main thing is AIR BAGS.  More ",5-rating,4-rating,3-rating,5-rating,5-rating
2012 Audi A4 1.8 TFSI,Do you find this review helpful? YesNo Report (1 out of 1 person found this review helpful),4-rating,5-rating,4-rating,5-rating,5-rating
2005 Chevrolet Exclusive LS 0.8,"Exterior doesn't have a very appealing look, front is above average abd trunk side is just OK. Interior build is good, better than cultus and wagon R. Excellent engine response, transmission was bit harder to shift initially but now its quite smooth. I must appreciate the build quality and paint far better than all locally made cars. I have driven it about 2800 km so far, fuel average with air con on local is 11 and highway 15 to 16. Roap grip is excellent. Now some of the downsides, braking is not as it should have been, v cheap music and speakers system, and above all the placement of auto windows controls is very annoying.  More ",4-rating,4-rating,5-rating,5-rating,2-rating
2005 Suzuki Baleno JXR,Do you find this review helpful? YesNo Report (2 out of 2 people found this review helpful),5-rating,3-rating,4-rating,5-rating,4-rating
2013 Honda Civic VTi 1.8 i-VTEC,"My Altis 1.8 CVTi has been driven about 15000 km. It gives me an average of 12-12.5 km/L within city and upto 15-16 on Motorway with light foodt. CVT transmission proved to be a wonderful feature and does a great job in keeping Engine RPM below 1500. I'm fully satisfied with my decision Alhamdolillah and would totally recommend it. By spending extra money, apart from the fuel average, you'll get ""USEFUL"" and more ""PRACTICAL"" features like Alloy Rims(light weight), Projection Headlamps, Japanese Yokohama Tyres, Reverse Cam, Cruise Control, ACIS etc, which are not available in other variants More ",5-rating,4-rating,5-rating,5-rating,4-rating
2019 United Bravo,Do you find this review helpful? YesNo Report (0 out of 0 people found this review helpful),4-rating,5-rating,5-rating,5-rating,5-rating
2017 Honda BR-V i-VTEC,Honda brv is a good car for family and first the AC of this car is very chill even in hot summer days and it's comfortable for 6 person and it's not underpower car it's pick is very good even 7 persons sitting. I love this car And first thing the price of this car is low as compare to toyata rush ,5-rating,5-rating,5-rating,5-rating,5-rating
1999 Lexus LX Series,Do you find this review helpful? YesNo Report (0 out of 0 people found this review helpful),5-rating,5-rating,5-rating,5-rating,4-rating
2016 Daihatsu Copen X-Play,"The Lexus LS 400, the car that sent the Engineers at BMW and Mercedes back to their drawling boards , the car that sent shockwaves among the Luxury car industry, the car so good that achieved a Million Mile Lexus goal and still kept running. The car that started it all for the Lexus brand. Built from 1989 till date is a fully loaded Luxury Limousine and is the flagship car of the brand. The exterior was very sleek and clean to keep it in pace with the intent of the market. The LS 400 featured with 8 airbags, 5 speed smooth automatic transmission and a very reliable v8 that pumped out 250-290 HP More ",5-rating,5-rating,5-rating,5-rating,5-rating
2002 Honda City EXi S,Do you find this review helpful? YesNo Report (0 out of 0 people found this review helpful),5-rating,5-rating,2-rating,4-rating,4-rating
2005 Suzuki Baleno JXR,"exterior perfect , triptonic,heated seats. turbo .traction control, eco idle. 16 inch alloys ,only 5 xplays in lahore, perfect fun car , blue color , average on highway 24 to 30 km . in city from 15 to 20 , comvertible hard top , just 18k driven ,, ",5-rating,5-rating,5-rating,5-rating,5-rating
2013 Toyota Corolla GLi 1.3 VVTi,Do you find this review helpful? YesNo Report (1 out of 1 person found this review helpful),5-rating,2-rating,4-rating,5-rating,5-rating
2004 Honda Accord CL8,A very manageable body size and the engine has ample power.. On a light foot it can easily do 12-12.5 kms/litre in urban traffic with ac on. Engine is a bit noisy though at high speeds and the suspension is stiff.. Not very roomy also in thr rear seat. Parts are not very hard to find. New and used parts are available in the market ,5-rating,5-rating,5-rating,3-rating,3-rating
1998 Toyota Corona,Do you find this review helpful? YesNo Report (0 out of 0 people found this review helpful),2-rating,4-rating,5-rating,4-rating,5-rating
1998 Toyota Corona EX Saloon,"Excellent car for a mid size family and also a fuel efficient car .it can also be a daily driven car.seats are very nice.leg room and head room is very decent.very spacious car with a fair size of boot.ground clearance is very nicethis car comes with a 1300cc and 1600cc engin . It has power window,power steering,lcd,reverse cam,less cabin noise,comfortable seats,",5-rating,4-rating,5-rating,3-rating,5-rating
2007 Toyota Passo G 1.3,Do you find this review helpful? YesNo Report (0 out of 0 people found this review helpful),4-rating,5-rating,3-rating,5-rating,5-rating
2019 Suzuki Cultus Auto Gear Shift,I bought this car before 3 year. I buy this 14 lac 90 thousand. Good average local city average 10 to 11 km per litre and long drive average 14 to 15 km per litre. Parts easy available and economical prices. Good resale. I drive this car in 3 year 100000 km during this period no work required,5-rating,5-rating,3-rating,5-rating,1-rating
2014 Toyota Corolla Axio Hybrid 1.5,Do you find this review helpful? YesNo Report (0 out of 0 people found this review helpful),4-rating,5-rating,4-rating,5-rating,5-rating
2014 Suzuki MR Wagon X IDLING STOP,"Exterior-The Suzuki MR wagon is similar to most of the boxed shaped 660cc Japanese cars available. It has simple well defined look , which is also the sister twin of the Japanese Nissan Moco. If debadged ,both of the cars are the same in terms of the exterior design. -Headlights with fog lights in front, no curves on sides , back truck vertical opening with wiper and brake light. INTERIOR- The car comes with a two tone interior with a black and white combo. Full gloss multimedia display with touch panel. Climate control, airbags , sofa seats, Bluetooth ,USB option. retractable mirrors. Fuel economy 16.5 to 17.5 with Ac and more without ac Drive and comfort wise perfect , suspension good , no slipping off on turns , excellent maneuverability . Ideal for a family of 4-5 persons, a budget car for people who have to travel longer distances the car provides all features . More ",3-rating,4-rating,5-rating,4-rating,4-rating
2015 Honda N One Premium Tourer,Do you find this review helpful? YesNo Report (0 out of 0 people found this review helpful),4-rating,5-rating,4-rating,4-rating,5-rating
2015 Toyota Corolla Altis Grande CVT-i 1.8,"Exterior is Beautiful with all chrome plating in Premium Tourier package and headlights everything is beautiful.  Interior is much better than exterior its very comfortable car and you cant feel you are sitting in a small car from the looks and comfort of its experience, it has almost all features that you can find in Honda Fit and expensive cars, The Premium tourier package carries Paddle shifters as well which are highly affective.  The pick of this car is really impressive, i drive Grandy and this car is new for me i never felt i am in an under power car.  The only negative factor i found is the car milage is not 18-19 KM/L in city as i read on internet before buying, on Long it gives 20 easily but in city i belong from sialkot and it is not giving me above 13-14 KM/L which is not impressive at all. besides fuel issue this car is the best car in 660cc category. More ",5-rating,4-rating,4-rating,5-rating,4-rating
2016 Toyota Corolla Altis Automatic 1.6,Do you find this review helpful? YesNo Report (0 out of 0 people found this review helpful),4-rating,4-rating,4-rating,5-rating,3-rating
2014 Honda Fit 1.5 Hybrid F Package,I bought this car back in 2015 june. I was totally shocked by performance ... its pick is superb cuz in city you need lot of torque... whenever you give aggresive throttle to grande paddle... it instantly responses .. I have made a race with civic but he was no match of grande though civic is good in style but engine is not powerful as grande ... coming to comfort its comfort is good better than others model .... handling is good but not good as civic ... engine is very powerful ... its just like that your grande is under your feet what yoi demand it just responses in your way More ,4-rating,5-rating,5-rating,5-rating,4-rating
2015 Honda Civic VTi Oriel Prosmatec 1.8 i-VTEC,Do you find this review helpful? YesNo Report (0 out of 0 people found this review helpful),5-rating,4-rating,5-rating,4-rating,3-rating
2016 Toyota Corolla GLi 1.3 VVTi,"I have ""Corolla with No Rolla"" ???? meams to say corolla has no issues at all in comparison with competitors like civic, suspension is very good it feels like they have specially designed for Pakistani roads, No specific selection of fuel/ fuel pump required like a Pakistani mindset for civic, fuel consumption is just average 13 to 14 on motorway, The things i miss in this car is Sunroof, retractable mirrors, air bags, immobiliser, remote key. multimedia steering, Speakers sound is just average no heavy bass. In short if you want problem free sedan with Style you need to buy some after market stuff. More ",5-rating,5-rating,4-rating,5-rating,5-rating
2019 Suzuki Alto VXR,Do you find this review helpful? YesNo Report (0 out of 0 people found this review helpful),4-rating,5-rating,5-rating,3-rating,4-rating
2015 Honda City 1.3 i-VTEC,When i bought this car it was giving me mileage of 26-27 but after some time it started giving me mileage of 21-22. This car was nice but not perfect because the comfort was just fine and styling was also not good but yes performance was amazing. Ground clearance was an issue but i increased the size of tire and it was fine.,5-rating,5-rating,4-rating,5-rating,5-rating
2019 United Bravo Base Grade,Do you find this review helpful? YesNo Report (0 out of 0 people found this review helpful),5-rating,4-rating,3-rating,4-rating,5-rating
2019 KIA Sportage,Honda Civic 2015 is not good car because it didn't gave me good mileage in city and it didn't have quick response on acceleration. The car seats were not so comfortable. but yes it had immobilizer system. Although it is not value for money and ground clearance was a big issue,5-rating,5-rating,5-rating,4-rating,5-rating
2011 Toyota Prius S 1.8,Do you find this review helpful? YesNo Report (1 out of 1 person found this review helpful),5-rating,4-rating,3-rating,3-rating,4-rating
2018 Suzuki Cultus VXL,Drive is awesome. I'm surprised cos i had honda civic 2015 and I'm impressed with new cultus. Gear shifting is awesome. Mtlb jitni bhi locally assembled car han un sab m sath waly ka goda (knee) hata k gear shift krna parta ya kbhi ap ka apna goda (knee) bhi is m ajata ha. But is m ye cheese bht achi ha gear position is very optimum. Fuel average kamal ki 18-22kpl. M 150 kph tk gya superb road grip. Over all a good car but thora audio player nai acha seats k cover nai achy or armrest nai ha. And no headrests for rear passengers. Market ki gari ha boss More ,3-rating,3-rating,5-rating,4-rating,5-rating
2016 Honda Grace Hybrid EX,Do you find this review helpful? YesNo Report (1 out of 1 person found this review helpful),3-rating,5-rating,4-rating,5-rating,5-rating
2016 Range Rover Velar Base Model 2.0,Honda Grace Ex Is Very Luxury car its consist of 4 tweeter in Door and 4 Sub Woofer Honda Grace Ex Package have front heated seats Honda Grace Ex becomes in good budget if you compare with Honda vezel and Toyota Grande 1.8 Altis Honda Grace Ex have Paddle Shifter Honda Grace Ex Have rear foldable seats rear air vents it's is more specious and comfortable as compare to vezel because it's sedan car it's pick is awesome Honda grace have same engine as vezel it's engine produce 130 horsepower and 30 Electric Motor altogether there are 160 hp. ,5-rating,4-rating,5-rating,5-rating,1-rating
2015 Suzuki Mehran VXR Euro II,Do you find this review helpful? YesNo Report (0 out of 0 people found this review helpful),4-rating,5-rating,5-rating,5-rating,5-rating
2019 KIA Grand Carnival EX,the exterior looks great the interior has a nice feel to it but its so expensive because in the uk it goes for about 8560881 pakistani rupees it feels really smooth because i have a range rover sport so it must feel really good. the infotainment screen it slow but ok.,5-rating,5-rating,5-rating,4-rating,5-rating
2010 Honda CR-Z Sports Hybrid Beta,Do you find this review helpful? YesNo Report (0 out of 0 people found this review helpful),4-rating,5-rating,5-rating,1-rating,5-rating
2018 Suzuki Wagon R VXL,"This car can be a good choice for people who cannot afford expensive operational cost.  Due to efi, its fuel consumption is good, AC works better than before versions. When someone hit the car, you will not get angry because it don't cost you much money to fix the things.  Overall it is better for people who only want to travel instead of showing off the wealth.",5-rating,5-rating,4-rating,4-rating,5-rating
2019 Toyota Corolla Altis Automatic 1.6,Do you find this review helpful? YesNo Report (2 out of 2 people found this review helpful),5-rating,5-rating,4-rating,5-rating,4-rating
2018 Toyota Corolla Altis Automatic 1.6,grand carnival as the name suggest it is so comfortable and luxury it is good for large families there is a seperate row for babies at the end thats a good step with 2 sunroofs and a luxury seats and a luxury dashboard with a electronic climate control and a seperate control for passenger and a driver?,5-rating,5-rating,1-rating,5-rating,4-rating
2019 United Bravo Base Grade,Do you find this review helpful? YesNo Report (0 out of 0 people found this review helpful),5-rating,4-rating,5-rating,5-rating,5-rating
2019 Honda Civic Oriel 1.8 i-VTEC CVT,"The exterior is Sporty and Aerodynamic In interior there are all option which you need ,like Cruise control, paddle shifter,sports mood, Climate Control etc Fuel Avg is 18km on long and 15km in City Handling is Superb and Ride Quality is Also Satisfactory",5-rating,4-rating,4-rating,5-rating,2-rating
2000 Honda Civic EXi,Do you find this review helpful? YesNo Report (1 out of 1 person found this review helpful),5-rating,1-rating,5-rating,5-rating,5-rating
2007 Chevrolet Joy 1.0 CNG,Exterior: Shape of the car is good much better than cars in this price range  Interior: Interior wise it's okay not too comfortable for long journey for short it's more than good.  Engine/Fuel Economy: 1.0 is not under powered but average if maintained well can easily beat Mehran but fuel economy is bad in city you get around 9-10 without ac and in long 11-12.  Parts: Hard to find parts and parts are expensive but are cheaper then the most of the Japanese cars  Overall this is good car for cities also you can travel on long routes if you maintain your car well it rarely even brakes I have this one from 2011 and till now I haven't had any big issue but make sure to find good mechanic otherwise local mechanics will ruin your car confirmed they don't understand this car very well. 110% Much better than Mehran/Coure/Alto/Cultus  More ,3-rating,3-rating,3-rating,3-rating,4-rating
2019 Suzuki Cultus Auto Gear Shift,Do you find this review helpful? YesNo Report (1 out of 1 person found this review helpful),3-rating,3-rating,3-rating,4-rating,4-rating
2002 Toyota Estima,This is a good car first l have Honda city but i like Suzuki cultus it have power steering it have abs it have automatic gear it have power Windows and it have air bags first i was buying Suzuki swift but it not have air bags and it is good car lt is 1300cc car but i like Suzuki cultus ,3-rating,3-rating,4-rating,5-rating,5-rating
2019 United Bravo,Do you find this review helpful? YesNo Report (0 out of 0 people found this review helpful),3-rating,4-rating,5-rating,4-rating,1-rating
2003 Toyota Corolla 2.0D Saloon,"The vehicle is very well designed from outer to interior, very good 2*4 vehicle to be kept, its capacity is of exactly two sedan cars regarding passengers and luggage, very powerful, stable, comfortable, luxurious car van, very quality performance as to its engine, drive ability, air conditioning, road stability, very high speed and very fuel economical as to its size, capacity and quality of drive, very reliable and multipurpose vehicle. Best as to utility point of view. Fantastic vehicle in every sense but not 4*4 thus just lacks to be considered as SUV. Extraordinary spacious and durable. Just one of the best van type car no match to any other car.  More ",4-rating,4-rating,5-rating,5-rating,4-rating
2019 Suzuki Cultus Auto Gear Shift,Do you find this review helpful? YesNo Report (0 out of 0 people found this review helpful),5-rating,5-rating,4-rating,5-rating,3-rating
2014 Toyota Vitz F 1.0,"Interior, exterior and including all other points the car is too expensive for a local made. Price should not exeed more than 5.5-6 lacs. Back seats are too conjusted for adjusting a normal heighted then it must be impossible for heighted to adjust......",4-rating,5-rating,4-rating,3-rating,4-rating
2004 Toyota Corolla 2.0D Saloon,Do you find this review helpful? YesNo Report (1 out of 1 person found this review helpful),5-rating,4-rating,5-rating,1-rating,4-rating
1993 Toyota Land Cruiser VX Limited 4.2D,Its a neat and clean car. 83000 is the mileage. Driving a diesel car is thrilling and great experience. It’s a 16 years old car but still better then the brand new trash corolla. Engine is sealed and gives a great acceleration. It’s a budget series car. A great value for money with an impressive fuel economy.,5-rating,4-rating,5-rating,5-rating,5-rating
2019 FAW V2 VCT-i,Do you find this review helpful? YesNo Report (0 out of 0 people found this review helpful),4-rating,4-rating,2-rating,4-rating,5-rating
1999 Toyota Vitz FL 1.0,"The new Cultus is function over form, though it is pleasant to the eyes and in particular, I find the bright blue colour attractive. I wouldn’t silky silliver exterior a work of art, but it’s quite alright. I’d need to see more of them on the road to get a real feel for how they stand out in a sea of traffic.",4-rating,5-rating,3-rating,5-rating,5-rating
2019 Suzuki Alto VXR,Do you find this review helpful? YesNo Report (0 out of 0 people found this review helpful),4-rating,5-rating,1-rating,3-rating,5-rating
2019 Isuzu D-Max V-Cross Automatic 3.0,"Awesome machine 10/10 in all comfort,power and economy worth it.It has all the great features and the engine response is very good but the thing it lacks is cruise control which the company says they will introduce in the next coming years and one more thing is that the tyre pressure monitoring system is not yet installed in the car it is only an app it does not work. All in all it is a very good 4×4 machine which makes its place against its competitors such ad revo and navara.",5-rating,5-rating,5-rating,5-rating,5-rating
2019 Suzuki Cultus Auto Gear Shift,Do you find this review helpful? YesNo Report (1 out of 1 person found this review helpful),5-rating,5-rating,5-rating,5-rating,5-rating
2007 Suzuki Mehran VXR (CNG),"Exterior style of the car is average according to my opinion, comfortable car with great road grip and this car is capable of reaching 180km/h easily( a rare thing for 1000 CC cars in Pakistan), A very fuel efficient car with mileage around 17-19 Km/L in city and 22-25 Km/L. Interior quality is great with excellent finishing and is equipped with dual airbags. AGS transmission for new drivers can be problem because it has a lag when switching to a upper gear but this lag is tolerable. Stalling in manual shifting is not tolerable with lag because it is very annoying. Even suzuki accepts this issue of stalling and couldnot solve it. Other than this the car is great.  More ",5-rating,5-rating,5-rating,4-rating,2-rating
2018 FAW V2 VCT-i,Do you find this review helpful? YesNo Report (0 out of 0 people found this review helpful),5-rating,5-rating,5-rating,5-rating,3-rating
2017 Suzuki Ciaz Automatic,"Exterior is very simple helogin headlights black colour side mirror black colour door handles very simple Suzuki's Mehran is manufactured with a hatchback body type. It is a small vehicle which measures 129.9 inches in length with a width and height of 55.3 inches and 55.5 inches, respectively. The wheelbase is 85.6 inches in diameter while the car's turning radius is up to 4.4 meters",5-rating,5-rating,4-rating,3-rating,4-rating
2019 Suzuki Alto VXR,Do you find this review helpful? YesNo Report (0 out of 0 people found this review helpful),4-rating,5-rating,5-rating,2-rating,4-rating
2019 Suzuki Cultus VXL,"I bought it as zero meter. I have driven the car about 20000 kms. I have found its drive very comfortable. Suspension is very good. Pick is excelent. Power of the car is outclass as I have driven it on the steeper mountains of Murree, Azad Kashmir and Naran and never felt under powered. Fuel economy of the car is reasonable with around 10-12 kms per liter in city and 15 kms per litr on motorways. The only thing that the comapny needs to improve is its after sale services. Their service outlets are limited and provide very pathetic service. It took me about 4 months to get my door lock fixed from the company. Their varranty proceedure is extremely slow. Rest the car is decent value for your money.  More ",5-rating,4-rating,1-rating,5-rating,3-rating
2016 Honda Civic 1.8 i-VTEC CVT,Do you find this review helpful? YesNo Report (1 out of 1 person found this review helpful),5-rating,5-rating,3-rating,3-rating,5-rating
